start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Call_1
RadialIntermediate,RadialIntermediate,TI_Chats_5
RadialProximal,RadialProximal,TI_Apps_4
VolarDistal,VolarDistal,TI_Music_3
VolarIntermediate,VolarIntermediate,TI_Map_6
VolarProximal,VolarProximal,TI_Climate_2
RadialDistal,RadialIntermediate,CallingPerson_1
RadialDistal,RadialIntermediate,CallAccept_1
RadialDistal,RadialIntermediate,CallReject_1
RadialDistal,RadialIntermediate,MuteMic_1
RadialDistal,RadialIntermediate,CallReply_1
RadialIntermediate,RadialDistal,SpeechToText_5
RadialIntermediate,RadialDistal,Reply_5
RadialIntermediate,RadialDistal,Send_5
RadialIntermediate,RadialDistal,Keyboard_5
RadialIntermediate,RadialDistal,ContactList_5
RadialProximal,RadialDistal,Radio_4
RadialProximal,RadialDistal,Podcast_4
RadialProximal,RadialDistal,Whatsapp_4
RadialProximal,RadialDistal,Instagram_4
RadialProximal,RadialDistal,Spotify_4
VolarDistal,RadialDistal,NextSong_3
VolarDistal,RadialDistal,VolumePlus_3
VolarDistal,RadialDistal,Pause_3
VolarDistal,RadialDistal,VolumeMinus_3
VolarDistal,RadialDistal,Play_3
VolarIntermediate,RadialDistal,Work_6
VolarIntermediate,RadialDistal,Recenter_6
VolarIntermediate,RadialDistal,Search_6
VolarIntermediate,RadialDistal,Home_6
VolarIntermediate,RadialDistal,Destination_6
VolarProximal,RadialDistal,CarSeatHeater_2
VolarProximal,RadialDistal,Heater_2
VolarProximal,RadialDistal,Air_2
VolarProximal,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,AC_2
