difficulty,question,answer
Easy,11 - 6,5
Easy,12 + 7,19
Easy,20 - 9,11
Medium,56 - 11,45
Medium,49 + 16,65
Hard,100 + 39,139
Easy,7 + 18,25
Easy,8 + 20,28
Easy,20 + 6,26
Medium,56 - 46,10
Medium,21 + 14,35
Hard,58 - 38,20
Easy,15 - 10,5
Easy,11 + 14,25
Easy,17 + 12,29
Medium,60 + 50,110
Medium,21 + 55,76
Hard,75 + 48,123
Easy,1 + 20,21
Easy,13 + 0,13
Easy,19 + 11,30
Medium,59 + 10,69
Medium,51 - 11,40
Hard,114 + 103,217
Easy,1 + 12,13
Easy,20 - 18,2
Easy,9 + 0,9
Medium,54 - 51,3
Medium,48 + 56,104
Hard,58 - 42,16
Easy,12 + 6,18
Easy,0 + 1,1
Easy,11 + 0,11
Medium,51 + 14,65
Medium,40 + 31,71
Hard,76 - 60,16
Easy,18 - 12,6
Easy,2 + 11,13
Easy,12 + 8,20
Medium,37 + 34,71
Medium,36 - 31,5
Hard,46 + 101,147
Easy,19 + 15,34
Easy,6 + 13,19
Easy,6 - 3,3
Medium,50 - 45,5
Medium,49 + 27,76
Hard,102 - 92,10
Easy,5 + 15,20
Easy,15 + 7,22
Easy,20 + 16,36
Medium,60 - 58,2
Medium,27 - 26,1
Hard,46 + 37,83
Easy,9 + 5,14
Easy,16 - 15,1
Easy,10 + 15,25
Medium,44 - 39,5
Medium,16 + 44,60
Hard,48 + 85,133
